x_over_h,cf_dns_exactmatch
1.089843750000000000e+00,-1.543321207761254223e-03
1.101562500000000000e+00,-1.776166607228729134e-03
1.113281250000000000e+00,-1.780021396859121858e-03
1.125000000000000000e+00,-1.663224436441682746e-03
1.136718750000000000e+00,-1.879222225468830292e-03
1.148437500000000000e+00,-1.942644163571300700e-03
1.160156250000000000e+00,-1.863311134144374518e-03
1.171875000000000000e+00,-2.136794202649454529e-03
1.183593750000000000e+00,-2.202892786841515252e-03
1.195312500000000000e+00,-2.066853219857881039e-03
1.207031250000000000e+00,-2.312996146777412162e-03
1.218750000000000000e+00,-2.361847744399485447e-03
1.230468750000000000e+00,-2.222430058546500612e-03
1.242187500000000000e+00,-2.587684124943560090e-03
1.253906250000000000e+00,-2.836520724323881616e-03
1.265625000000000000e+00,-2.806593476884390939e-03
1.277343750000000000e+00,-2.909402755040788741e-03
1.289062500000000000e+00,-3.098294266593326976e-03
1.300781250000000000e+00,-2.901393424273970498e-03
1.312500000000000000e+00,-2.587420460728863478e-03
1.324218750000000000e+00,-2.486425267718915619e-03
1.335937500000000000e+00,-2.945881610969167206e-03
1.347656250000000000e+00,-3.325748240982714151e-03
1.359375000000000000e+00,-3.318486885460737983e-03
1.371093750000000000e+00,-3.200854306571538493e-03
1.382812500000000000e+00,-3.063542292148331396e-03
1.394531250000000000e+00,-2.972494070090766528e-03
1.406250000000000000e+00,-3.233725586287860936e-03
1.417968750000000000e+00,-3.864297750727349687e-03
1.429687500000000000e+00,-4.140731570481847451e-03
1.441406250000000000e+00,-4.267172141292283061e-03
1.453125000000000000e+00,-4.302936489115019580e-03
1.464843750000000000e+00,-4.251425511022843481e-03
1.476562500000000000e+00,-4.099053968786171148e-03
1.488281250000000000e+00,-3.824467582270214480e-03
1.500000000000000000e+00,-3.403946845539274589e-03
1.511718750000000000e+00,-3.336252117909276581e-03
1.523437500000000000e+00,-3.333546125699286648e-03
1.535156250000000000e+00,-3.521968796048085409e-03
1.546875000000000000e+00,-3.697146573520976916e-03
1.558593750000000000e+00,-3.614410185467137934e-03
1.570312500000000000e+00,-3.327733587387534699e-03
1.582031250000000000e+00,-3.020864123851372141e-03
1.593750000000000000e+00,-3.043011464571048711e-03
1.605468750000000000e+00,-3.428507656020007757e-03
1.617187500000000000e+00,-3.345474651313057497e-03
1.628906250000000000e+00,-3.349831016039103802e-03
1.640625000000000000e+00,-3.390529891975572162e-03
1.652343750000000000e+00,-3.332400847942904813e-03
1.664062500000000000e+00,-3.338890402934455073e-03
1.675781250000000000e+00,-3.188477560882530849e-03
1.687500000000000000e+00,-3.129874231220661478e-03
1.699218750000000000e+00,-3.346522564638415229e-03
1.710937500000000000e+00,-3.487285752652699404e-03
1.722656250000000000e+00,-3.324585751657007596e-03
1.734375000000000000e+00,-3.325500560043388298e-03
1.746093750000000000e+00,-3.240337140983095242e-03
1.757812500000000000e+00,-3.051297739431522212e-03
1.769531250000000000e+00,-2.748873891336232455e-03
1.781250000000000000e+00,-3.021107261259533411e-03
1.792968750000000000e+00,-3.309644061463061244e-03
1.804687500000000000e+00,-3.392861157435478770e-03
1.816406250000000000e+00,-3.703156049537624419e-03
1.828125000000000000e+00,-3.606755361636310424e-03
1.839843750000000000e+00,-3.293675619767437272e-03
1.851562500000000000e+00,-3.299321904815058840e-03
1.863281250000000000e+00,-2.973492329094679781e-03
1.875000000000000000e+00,-3.044877121935971390e-03
1.886718750000000000e+00,-3.075199968435332176e-03
1.898437500000000000e+00,-3.065011972249007729e-03
1.910156250000000000e+00,-3.024248445558614957e-03
1.921875000000000000e+00,-2.953787539310258597e-03
1.933593750000000000e+00,-2.854296327507007281e-03
1.945312500000000000e+00,-2.736595824446908399e-03
1.957031250000000000e+00,-2.646511289064676538e-03
1.968750000000000000e+00,-2.744583141806806407e-03
1.980468750000000000e+00,-2.836133569642982320e-03
1.992187500000000000e+00,-2.921477064360105801e-03
2.003906250000000000e+00,-3.005409750926032412e-03
2.015625000000000000e+00,-3.080235260291983024e-03
2.027343750000000000e+00,-3.155782473538521534e-03
2.039062500000000000e+00,-3.220479624604340087e-03
2.050781250000000000e+00,-3.292789820854695373e-03
2.062500000000000000e+00,-3.360237176507688533e-03
2.074218750000000000e+00,-3.432108156505127988e-03
2.085937500000000000e+00,-3.493960400316719825e-03
2.097656250000000000e+00,-3.560397068252972152e-03
2.109375000000000000e+00,-3.617764165583271362e-03
2.121093750000000000e+00,-3.680566193335242479e-03
2.132812500000000000e+00,-3.734456780933504642e-03
2.144531250000000000e+00,-3.792706471943326722e-03
2.156250000000000000e+00,-3.841318886694066511e-03
